venue_name,address,rating,reviews,price,type,lat,lng,day_of_week,hour,hour_label,busyness,busyness_info
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,1,1 AM,18,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,6,6 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,7,7 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,8,8 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,9,9 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,10,10 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,11,11 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,12,12 PM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,13,1 PM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,14,2 PM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,15,3 PM,15,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,16,4 PM,19,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,17,5 PM,21,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,18,6 PM,22,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,19,7 PM,21,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,20,8 PM,23,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,21,9 PM,27,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,22,10 PM,34,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,23,11 PM,33,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,0,12 AM,27,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Thursday,1,1 AM,17,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,6,6 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,7,7 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,8,8 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,9,9 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,10,10 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,11,11 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,12,12 PM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,13,1 PM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,14,2 PM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,15,3 PM,12,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,16,4 PM,15,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,17,5 PM,16,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,18,6 PM,20,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,19,7 PM,23,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,20,8 PM,30,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,21,9 PM,45,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,22,10 PM,67,Usually a little busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,23,11 PM,78,Usually a little busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,0,12 AM,63,Usually a little busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Friday,1,1 AM,39,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,6,6 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,7,7 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,8,8 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,9,9 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,10,10 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,11,11 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,12,12 PM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,13,1 PM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,14,2 PM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,15,3 PM,16,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,16,4 PM,19,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,17,5 PM,24,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,18,6 PM,28,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,19,7 PM,36,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,20,8 PM,46,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,21,9 PM,72,Usually a little busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,22,10 PM,90,Usually as busy as it gets
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,23,11 PM,100,Usually as busy as it gets
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,0,12 AM,81,Usually as busy as it gets
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Saturday,1,1 AM,57,Usually a little busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,6,6 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,7,7 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,8,8 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,9,9 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,10,10 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,11,11 AM,21,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,12,12 PM,34,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,13,1 PM,48,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,14,2 PM,65,Usually a little busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,15,3 PM,79,Usually a little busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,16,4 PM,83,Usually as busy as it gets
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,17,5 PM,73,Usually a little busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,18,6 PM,59,Usually a little busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,19,7 PM,44,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,20,8 PM,36,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,21,9 PM,41,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,22,10 PM,45,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Sunday,23,11 PM,46,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,6,6 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,7,7 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,8,8 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,9,9 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,10,10 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,11,11 AM,13,Usually not busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,12,12 PM,18,Usually not busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,13,1 PM,22,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,14,2 PM,30,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,15,3 PM,28,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,16,4 PM,28,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,17,5 PM,23,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,18,6 PM,21,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,19,7 PM,18,Usually not busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,20,8 PM,20,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,21,9 PM,21,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,22,10 PM,22,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,23,11 PM,23,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Monday,0,12 AM,13,Usually not busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,6,6 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,7,7 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,8,8 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,9,9 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,10,10 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,11,11 AM,16,Usually not busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,12,12 PM,17,Usually not busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,13,1 PM,21,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,14,2 PM,29,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,15,3 PM,38,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,16,4 PM,50,Usually a little busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,17,5 PM,51,Usually a little busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,18,6 PM,45,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,19,7 PM,34,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,20,8 PM,25,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,21,9 PM,20,Usually not too busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,22,10 PM,18,Usually not busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,23,11 PM,18,Usually not busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Tuesday,0,12 AM,12,Usually not busy
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Wednesday,6,6 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Wednesday,7,7 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Wednesday,8,8 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Wednesday,9,9 AM,0,
Linebacker Lounge,"1631 South Bend Ave, South Bend, IN 46617",4,682,$20–30,"['Lounge bar', 'Bar']",41.6941633,-86.2244039,Wednesday,10,10 AM,0,
